Timestamp,Enclosure Pressure,Hepa Blockage,Running Mode
10:22:48,-1.7,1.0,Auto
10:22:48,-0.8,1.0,Auto
10:22:49,-0.4,1.0,Auto
10:22:49,-0.4,1.0,Manual
10:22:50,1.2,1.0,Manual
10:22:50,-0.0,1.0,Manual
10:22:51,-0.4,1.0,Manual
10:22:52,-0.4,1.0,Manual
10:22:52,-2.1,1.0,Manual
10:22:53,1.2,1.0,Manual
10:22:53,-0.8,1.0,Manual
10:22:54,-0.0,1.0,Manual
10:22:54,0.4,1.0,Manual
10:22:55,0.4,1.0,Manual
10:22:55,-0.4,1.0,Manual
10:22:56,-1.2,1.0,Manual
10:22:56,1.2,1.0,Manual
10:22:57,-0.8,1.0,Manual
10:22:57,-1.2,1.0,Manual
10:22:58,0.8,1.0,Manual
10:22:58,0.4,1.0,Manual
10:22:59,1.2,1.0,Manual
10:22:59,0.8,1.0,Manual
10:23:00,0.4,1.0,Manual
10:23:00,-0.4,1.0,Manual
10:23:01,1.2,1.0,Manual
10:23:01,0.8,1.0,Manual
10:23:02,-0.4,1.1,Manual
10:23:02,0.0,1.1,Manual
10:23:03,-2.1,1.1,Manual
10:23:03,0.8,1.2,Manual
10:23:04,-1.7,1.3,Manual
10:23:04,0.4,1.4,Manual
10:23:05,0.0,1.6,Manual
10:23:05,-0.0,1.8,Manual
10:23:06,-1.2,2.0,Manual
10:23:06,0.0,2.2,Manual
10:23:07,0.4,2.5,Manual
10:23:08,0.4,2.7,Manual
10:23:08,0.8,3.0,Manual
10:23:09,-0.8,3.1,Manual
10:23:09,0.8,3.4,Manual
10:23:10,1.7,4.0,Manual
10:23:10,1.2,4.8,Manual
10:23:11,1.2,5.5,Manual
10:23:11,0.8,6.4,Manual
10:23:12,1.7,7.2,Manual
10:23:12,0.4,8.1,Manual
10:23:13,1.7,9.0,Manual
10:23:13,2.9,9.8,Manual
10:23:14,2.5,10.7,Manual
10:23:14,2.9,11.6,Manual
10:23:15,2.1,12.6,Manual
10:23:15,4.2,13.6,Manual
10:23:16,4.2,14.4,Manual
10:23:16,4.6,15.4,Manual
10:23:17,3.8,16.4,Manual
10:23:17,4.2,17.5,Manual
10:23:18,5.8,18.4,Manual
10:23:18,3.8,19.4,Manual
10:23:19,5.0,20.9,Manual
10:23:19,5.8,21.4,Manual
10:23:20,5.4,22.9,Manual
10:23:20,6.7,23.9,Manual
10:23:21,6.7,25.0,Manual
10:23:21,6.7,26.4,Manual
10:23:22,6.7,27.4,Manual
10:23:23,4.6,28.6,Manual
10:23:23,5.8,30.2,Manual
10:23:24,6.2,31.2,Manual
10:23:24,6.7,32.3,Manual
